player_id,inferred_home_region,unique_event_locations,unique_event_states,avg_travel_distance_miles,max_travel_distance_miles,pct_events_outside_home_region,traveling_competitor_label,travel_distance_confidence
16722325,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
16728896,NC,4,2,67.75230462706672,154.20807501252798,0.03333333333333333,Regional traveler,approximate (city-level)
16741147,NJ,6,5,458.8439901014563,2442.272703272797,0.6666666666666666,Multi-state competitor,approximate (state-level)
16771771,NY,7,3,222.3994718290028,1463.6209947196405,0.12,Multi-state competitor,approximate (city-level)
16899496,NY,5,4,159.97750535997008,348.32773852944086,0.75,Multi-state competitor,approximate (state-level)
16920880,NC,3,3,637.6035675147831,2333.8415333775893,0.3333333333333333,Tournament road warrior,approximate (city-level)
16967853,NC,4,4,112.18009592343084,790.1812134616874,0.16,Multi-state competitor,approximate (city-level)
17035355,TX,10,9,1098.7328101278697,1466.594190842496,0.8333333333333334,Tournament road warrior,approximate (city-level)
17080545,NY,2,2,59.71094607377166,119.42189214754332,0.5,Regional traveler,approximate (state-level)
17090631,NJ,1,1,39.36777831881205,39.36777831881205,1.0,Regional traveler,approximate (city-level)
17094702,CA,5,1,138.93691876174512,198.17302642039274,0.0,Multi-state competitor,approximate (city-level)
17128308,NJ,17,9,150.55960449100607,900.9629417875195,0.7741935483870968,Multi-state competitor,approximate (city-level)
17137475,IN,9,5,96.08571028488471,479.9023734425451,0.4,Regional traveler,approximate (city-level)
17154490,DE,10,5,128.64063292802473,198.8868165582667,1.0,Multi-state competitor,approximate (state-level)
17163748,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
17171472,NY,9,5,104.09195787040679,174.99716554344533,0.15625,Multi-state competitor,approximate (city-level)
17295978,NY,4,2,85.39702297007995,348.32773852944086,0.125,Regional traveler,approximate (state-level)
17299788,NJ,2,1,0.0,0.0,0.0,Local grinder,approximate (state-level)
17309236,MD,7,3,195.8644482553925,639.7695427095158,0.6666666666666666,Multi-state competitor,approximate (state-level)
17320800,NY,2,1,37.20538280346651,111.61614841039955,0.0,Regional traveler,approximate (state-level)
17321301,NY,3,1,43.406279937377604,111.61614841039955,0.0,Regional traveler,approximate (state-level)
17344518,MO,9,4,421.704268593517,1508.9247104835258,0.3,Multi-state competitor,approximate (city-level)
30020975,NY,6,5,444.1198753966246,2171.806104722988,0.5384615384615384,Multi-state competitor,approximate (city-level)
30021753,NJ,4,2,24.03994997439917,50.17631486435805,0.42857142857142855,Local grinder,approximate (city-level)
30045956,TX,5,2,478.6202735928854,1466.594190842496,0.2631578947368421,Multi-state competitor,approximate (city-level)
